Mês acidente ;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Ign/Branco;32;-;-;-;-;-;-;-;-;-;-;-;-;32
Janeiro;-;37378;-;-;-;-;-;-;-;-;-;-;-;37378
Fevereiro;-;-;35792;-;-;-;-;-;-;-;-;-;-;35792
Marco;-;-;-;37751;-;-;-;-;-;-;-;-;-;37751
Abril;-;-;-;-;32124;-;-;-;-;-;-;-;-;32124
Maio;-;-;-;-;-;30393;-;-;-;-;-;-;-;30393
Junho;-;-;-;-;-;-;26389;-;-;-;-;-;-;26389
Julho;-;-;-;-;-;-;-;28172;-;-;-;-;-;28172
Agosto;-;-;-;-;-;-;-;-;29646;-;-;-;-;29646
Setembro;-;-;-;-;-;-;-;-;-;31799;-;-;-;31799
Outubro;-;-;-;-;-;-;-;-;-;-;32911;-;-;32911
Novembro;-;-;-;-;-;-;-;-;-;-;-;21876;-;21876
Dezembro;-;-;-;-;-;-;-;-;-;-;-;-;1326;1326
